"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"02/01/2023","00:28:49","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-16,05","0,00","-16,05",,"","-16,05","65A97725BC430953B",""
"02/01/2023","00:28:49","PST","","General Card Deposit","Completed","EUR","16,05","0,00","16,05",,"","0,00","7DL87846Y6170350X",""
"02/01/2023","07:17:45","PST","Apple Services","PreApproved Payment Bill User Payment","Completed","EUR","-4,99","0,00","-4,99",,"","-4,99","1RJ22782YJ892244Y",""
"02/01/2023","07:17:45","PST","","General Card Deposit","Completed","EUR","4,99","0,00","4,99",,"","0,00","4R4497394U4958734",""
"05/01/2023","04:58:08","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-33,67","0,00","-33,67",,"","-33,67","88N94943TU7711409",""
"05/01/2023","04:58:08","PST","","General Card Deposit","Completed","EUR","33,67","0,00","33,67",,"","0,00","24662454VR0232302",""
"05/01/2023","11:57:36","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-27,37","0,00","-27,37",,"","-27,37","9RM70768G22537154",""
"05/01/2023","11:57:36","PST","","General Card Deposit","Completed","EUR","27,37","0,00","27,37",,"","0,00","0A637850HL7281357",""
"12/01/2023","02:22:41","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-8,30","0,00","-8,30",,"","-8,30","1EJ20506F1129513X",""
"12/01/2023","02:22:41","PST","","General Card Deposit","Completed","EUR","8,30","0,00","8,30",,"","0,00","4LY81141C0550400X",""
"12/01/2023","03:00:03","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-1,00","0,00","-1,00",,"","-1,00","1LM96302FE886515N",""
"12/01/2023","03:00:03","PST","","General Card Deposit","Completed","EUR","1,00","0,00","1,00",,"","0,00","3GF6569535194223L",""
"12/01/2023","03:18:17","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-7,91","0,00","-7,91",,"","-7,91","18M74492W1826973U",""
"12/01/2023","03:18:17","PST","","General Card Deposit","Completed","EUR","7,91","0,00","7,91",,"","0,00","70H4170389102073T",""
"12/01/2023","03:20:29","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-1,00","0,00","-1,00",,"","-1,00","4D09111474594450U",""
"12/01/2023","03:20:29","PST","","General Card Deposit","Completed","EUR","1,00","0,00","1,00",,"","0,00","9AX658267W7755427",""
"12/01/2023","05:14:50","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-33,67","0,00","-33,67",,"","-33,67","6G196315WR949225H",""
"12/01/2023","05:14:50","PST","","General Card Deposit","Completed","EUR","33,67","0,00","33,67",,"","0,00","96G74516HP663080W",""
"15/01/2023","05:13:04","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-33,19","0,00","-33,19",,"","-33,19","18A397650W875362W",""
"15/01/2023","05:13:04","PST","","General Card Deposit","Completed","EUR","33,19","0,00","33,19",,"","0,00","1GG94608V96213232",""
"15/01/2023","12:51:06","PST","Comité Português para a UNICEF","Express Checkout Payment","Completed","EUR","-100,00","0,00","-100,00",,"","-100,00","20D090764X613404W",""
"15/01/2023","12:51:06","PST","","General Card Deposit","Completed","GBP","93,41","0,00","93,41",,"","93,41","28067640E04115922",""
"15/01/2023","12:51:06","PST","","General Currency Conversion","Completed","GBP","-93,41","0,00","-93,41",1.070585590648533,"","0,00","3UK18508LX265420R",""
"15/01/2023","12:51:06","PST","","General Currency Conversion","Completed","EUR","100,00","0,00","100,00",,"","0,00","75Y1284664276004A",""
"17/01/2023","13:40:58","PST","Google","PreApproved Payment Bill User Payment","Completed","EUR","-8,49","0,00","-8,49",,"","-8,49","9XA13934YL079735V",""
"17/01/2023","13:40:58","PST","","General Card Deposit","Completed","EUR","8,49","0,00","8,49",,"","0,00","60L7497366565843A",""
"19/01/2023","05:26:36","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-33,67","0,00","-33,67",,"","-33,67","3S058175DD5439407",""
"19/01/2023","05:26:36","PST","","General Card Deposit","Completed","EUR","33,67","0,00","33,67",,"","0,00","5YS47077H34107541",""
"19/01/2023","12:08:22","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-48,99","0,00","-48,99",,"","-48,99","9K408590TC025540M",""
"19/01/2023","12:08:22","PST","","General Card Deposit","Completed","EUR","48,99","0,00","48,99",,"","0,00","57Y77001LV460913A",""
