"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"03/01/2025","05:15:51","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-30,77","0,00","-30,77",,"","-30,77","3PB00817410251609",""
"03/01/2025","05:15:51","PST","","General Card Deposit","Completed","EUR","30,77","0,00","30,77",,"","0,00","1V417838CX358814X",""
"06/01/2025","09:09:35","PST","Sony Interactive Entertainment Network Europe Limited","PreApproved Payment Bill User Payment","Completed","EUR","-17,49","0,00","-17,49",,"","-17,49","1PB84441A40608532",""
"06/01/2025","09:09:35","PST","","General Card Deposit","Completed","EUR","17,49","0,00","17,49",,"","0,00","6P803155XD010700D",""
"07/01/2025","00:33:52","PST","Sony Interactive Entertainment Network Europe Limited","PreApproved Payment Bill User Payment","Completed","EUR","-13,99","0,00","-13,99",,"","-13,99","7JE2737411102464C",""
"07/01/2025","00:33:52","PST","","General Card Deposit","Completed","EUR","13,99","0,00","13,99",,"","0,00","41B24922PX6597933",""
"07/01/2025","04:32:34","PST","Sony Interactive Entertainment Network Europe Limited","PreApproved Payment Bill User Payment","Completed","EUR","-19,99","0,00","-19,99",,"","-19,99","0J630666YL385213H",""
"07/01/2025","04:32:34","PST","","General Card Deposit","Completed","EUR","19,99","0,00","19,99",,"","0,00","6B869789MU158552T",""
"07/01/2025","16:31:02","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-23,48","0,00","-23,48",,"","-23,48","41270393YK3278136",""
"07/01/2025","16:31:02","PST","","General Card Deposit","Completed","EUR","23,48","0,00","23,48",,"","0,00","1TR38304MX452682C",""
"08/01/2025","04:43:11","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-13,29","0,00","-13,29",,"","-13,29","5AH57456Y9524890H",""
"08/01/2025","04:43:11","PST","","General Card Deposit","Completed","EUR","13,29","0,00","13,29",,"","0,00","25E27228EL529764C",""
"08/01/2025","05:33:52","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-26,33","0,00","-26,33",,"","-26,33","3DG93392MK900735U",""
"08/01/2025","05:33:52","PST","","General Card Deposit","Completed","EUR","26,33","0,00","26,33",,"","0,00","4MV707314L339360C",""
"09/01/2025","04:40:15","PST","GitHub, Inc.","PreApproved Payment Bill User Payment","Completed","USD","-9,03","0,00","-9,03",,"","-9,03","0EX09602UX691593E",""
"09/01/2025","04:40:15","PST","","General Card Deposit","Completed","USD","9,03","0,00","9,03",,"","0,00","0YJ504790C741820W",""
"09/01/2025","05:17:51","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-30,77","0,00","-30,77",,"","-30,77","11L65493DU243041P",""
"09/01/2025","05:17:51","PST","","General Card Deposit","Completed","EUR","30,77","0,00","30,77",,"","0,00","81R10913D5509184R",""
"13/01/2025","01:15:16","PST","INF Company AB","Express Checkout Payment","Completed","EUR","-21,78","0,00","-21,78",,"","-21,78","0G527274MU308141J",""
"13/01/2025","01:15:16","PST","","General Card Deposit","Completed","EUR","21,78","0,00","21,78",,"","0,00","95H74698DT718234T",""
"16/01/2025","04:42:45","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-30,77","0,00","-30,77",,"","-30,77","4YG627627Y426074F",""
"16/01/2025","04:42:45","PST","","General Card Deposit","Completed","EUR","30,77","0,00","30,77",,"","0,00","4D901289SJ160204C",""
"17/01/2025","04:56:55","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-35,31","0,00","-35,31",,"","-35,31","6SN07827UC105692G",""
"17/01/2025","04:56:55","PST","","General Card Deposit","Completed","EUR","35,31","0,00","35,31",,"","0,00","3D8197546G740321N",""
"20/01/2025","04:10:08","PST","Uber BV","PreApproved Payment Bill User Payment","Completed","EUR","-4,99","0,00","-4,99",,"","-4,99","8UR06153L97129140",""
"20/01/2025","04:10:08","PST","","General Card Deposit","Completed","EUR","4,99","0,00","4,99",,"","0,00","55B59669KX3648925",""
"23/01/2025","00:12:25","PST","Google","PreApproved Payment Bill User Payment","Completed","EUR","-17,99","0,00","-17,99",,"","-17,99","1PF84839E0060162S",""
"23/01/2025","00:12:25","PST","","General Card Deposit","Completed","EUR","17,99","0,00","17,99",,"","0,00","0NA85704U2638482X",""
"23/01/2025","05:27:39","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-41,01","0,00","-41,01",,"","-41,01","0LE411094D4750830",""
"23/01/2025","05:27:39","PST","","General Card Deposit","Completed","EUR","41,01","0,00","41,01",,"","0,00","7YG58487TK093715N",""
"25/01/2025","05:18:26","PST","Uber Payments BV","PreApproved Payment Bill User Payment","Completed","EUR","-23,18","0,00","-23,18",,"","-23,18","3AE56988HR557692U",""
"25/01/2025","05:18:26","PST","","General Card Deposit","Completed","EUR","23,18","0,00","23,18",,"","0,00","6WG04411WE3768817",""
