Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Savings,2025-05-01 02:27:35,2025-05-01 02:27:35,To pocket EUR Rainy day from EUR,50,0,EUR,COMPLETED,7072.42
Transfer,Savings,2025-05-01 08:09:31,2025-05-01 08:09:31,To pocket EUR Savings from EUR,0.5,0,EUR,COMPLETED,7072.92
Transfer,Savings,2025-05-01 12:51:04,2025-05-01 12:51:04,To pocket EUR Savings from EUR,0.67,0,EUR,COMPLETED,7073.59
Transfer,Savings,2025-05-01 14:13:17,2025-05-01 14:13:17,To pocket EUR Savings from EUR,0.6,0,EUR,COMPLETED,7074.19
Transfer,Savings,2025-05-01 16:15:43,2025-05-01 16:15:43,To pocket EUR Savings from EUR,0.63,0,EUR,COMPLETED,7074.82
Transfer,Savings,2025-05-02 12:16:22,2025-05-02 12:16:22,To pocket EUR Savings from EUR,0.01,0,EUR,COMPLETED,7074.83
Transfer,Savings,2025-05-03 08:38:24,2025-05-03 08:38:24,To pocket EUR Savings from EUR,0.41,0,EUR,COMPLETED,7075.24
Transfer,Savings,2025-05-03 10:29:03,2025-05-03 10:29:03,To pocket EUR Savings from EUR,0.8,0,EUR,COMPLETED,7076.04
Transfer,Savings,2025-05-03 18:25:31,2025-05-03 18:25:31,To pocket EUR Savings from EUR,0.55,0,EUR,COMPLETED,7076.59
Transfer,Savings,2025-05-03 18:26:24,2025-05-03 18:26:24,To pocket EUR Savings from EUR,1,0,EUR,COMPLETED,7077.59
Transfer,Savings,2025-05-04 08:33:35,2025-05-04 08:33:35,To pocket EUR Savings from EUR,0.5,0,EUR,COMPLETED,7078.09
Transfer,Savings,2025-05-04 09:20:35,2025-05-04 09:20:35,To pocket EUR Savings from EUR,0.52,0,EUR,COMPLETED,7078.61
Transfer,Savings,2025-05-04 14:52:02,2025-05-04 14:52:02,To pocket EUR Savings from EUR,1,0,EUR,COMPLETED,7079.61
Transfer,Savings,2025-05-04 17:49:42,2025-05-04 17:49:42,To pocket EUR Savings from EUR,0.4,0,EUR,COMPLETED,7080.01
Transfer,Savings,2025-05-05 03:04:50,2025-05-05 03:04:50,To pocket EUR Savings from EUR,20,0,EUR,COMPLETED,7100.01
Transfer,Savings,2025-05-06 19:37:02,2025-05-06 19:37:02,To pocket EUR Savings from EUR,0.69,0,EUR,COMPLETED,7100.7
Transfer,Savings,2025-05-08 12:00:51,2025-05-08 12:00:51,To pocket EUR Savings from EUR,0.47,0,EUR,COMPLETED,7101.17
Transfer,Savings,2025-05-08 19:23:01,2025-05-08 19:23:01,To pocket EUR Savings from EUR,0.71,0,EUR,COMPLETED,7101.88
Transfer,Savings,2025-05-09 08:16:46,2025-05-09 08:16:46,To pocket EUR Savings from EUR,0.09,0,EUR,COMPLETED,7101.97
Transfer,Savings,2025-05-09 15:17:55,2025-05-09 15:17:55,To pocket EUR Savings from EUR,0.64,0,EUR,COMPLETED,7102.61
Transfer,Savings,2025-05-10 03:38:13,2025-05-10 03:38:13,To pocket EUR Savings from EUR,1,0,EUR,COMPLETED,7103.61
Transfer,Savings,2025-05-10 08:19:47,2025-05-10 08:19:47,To pocket EUR Savings from EUR,0.5,0,EUR,COMPLETED,7104.11
Transfer,Savings,2025-05-10 17:17:36,2025-05-10 17:17:36,To pocket EUR Savings from EUR,0.99,0,EUR,COMPLETED,7105.1
Transfer,Savings,2025-05-11 07:52:24,2025-05-11 07:52:24,To pocket EUR Savings from EUR,0.5,0,EUR,COMPLETED,7105.6
Transfer,Savings,2025-05-11 12:43:35,2025-05-11 12:43:35,To pocket EUR Savings from EUR,0.16,0,EUR,COMPLETED,7105.76
Transfer,Savings,2025-05-11 14:05:41,2025-05-11 14:05:41,To pocket EUR Savings from EUR,0.61,0,EUR,COMPLETED,7106.37
